width product_bits phase_leaves nested_marks seconds
128 255 1 12544 0.002223
256 511 1 12544 0.001874
512 1023 1 12544 0.001719
1024 2047 1 12544 0.001749
2048 4095 1 12544 0.001793
4096 8191 1 12544 0.002210
8192 16383 1 12544 0.002781
16384 32767 1 12544 0.005440
32768 65535 1 12544 0.008831
65536 131071 1 12544 0.023296
131072 262143 1 12544 0.070512
262144 524287 1 12544 0.186001
524288 1048575 1 12544 0.522967
1048576 2097151 1 12544 1.583602
2097152 4194303 1 12544 4.928697
4194304 8388607 1 12544 16.230682
256 512 43691 548059904 0.637000
