timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/05 03:20:48.781, 0, 11 %, 11466 MiB
2026/09/05 03:20:48.783, 1, 0 %, 8555 MiB
2026/09/05 03:20:49.785, 0, 1 %, 11618 MiB
2026/09/05 03:20:49.785, 1, 0 %, 8658 MiB
2026/09/05 03:20:50.786, 0, 100 %, 11732 MiB
2026/09/05 03:20:50.788, 1, 0 %, 8658 MiB
2026/09/05 03:20:51.789, 0, 100 %, 11732 MiB
2026/09/05 03:20:51.790, 1, 100 %, 8740 MiB
2026/09/05 03:20:52.791, 0, 100 %, 11732 MiB
2026/09/05 03:20:52.792, 1, 100 %, 8740 MiB
2026/09/05 03:20:53.793, 0, 100 %, 11732 MiB
2026/09/05 03:20:53.794, 1, 100 %, 8740 MiB
2026/09/05 03:20:54.795, 0, 100 %, 11732 MiB
2026/09/05 03:20:54.796, 1, 100 %, 8740 MiB
2026/09/05 03:20:55.797, 0, 100 %, 11732 MiB
2026/09/05 03:20:55.798, 1, 100 %, 8740 MiB
2026/09/05 03:20:56.799, 0, 100 %, 11732 MiB
2026/09/05 03:20:56.799, 1, 100 %, 8740 MiB
2026/09/05 03:20:57.801, 0, 100 %, 11732 MiB
2026/09/05 03:20:57.801, 1, 100 %, 8740 MiB
2026/09/05 03:20:58.802, 0, 100 %, 11732 MiB
2026/09/05 03:20:58.803, 1, 100 %, 8740 MiB
2026/09/05 03:20:59.804, 0, 100 %, 11732 MiB
2026/09/05 03:20:59.805, 1, 100 %, 8740 MiB
2026/09/05 03:21:00.806, 0, 100 %, 11732 MiB
2026/09/05 03:21:00.807, 1, 100 %, 8740 MiB
2026/09/05 03:21:01.807, 0, 100 %, 11732 MiB
2026/09/05 03:21:01.811, 1, 100 %, 8740 MiB
2026/09/05 03:21:02.813, 0, 100 %, 11732 MiB
2026/09/05 03:21:02.814, 1, 100 %, 8740 MiB
2026/09/05 03:21:03.814, 0, 100 %, 11732 MiB
2026/09/05 03:21:03.817, 1, 100 %, 8740 MiB
2026/09/05 03:21:04.823, 0, 100 %, 11732 MiB
2026/09/05 03:21:04.824, 1, 100 %, 8740 MiB
2026/09/05 03:21:05.825, 0, 100 %, 11732 MiB
2026/09/05 03:21:05.827, 1, 100 %, 8740 MiB
2026/09/05 03:21:06.828, 0, 100 %, 11732 MiB
2026/09/05 03:21:06.830, 1, 100 %, 8740 MiB
2026/09/05 03:21:07.830, 0, 100 %, 11732 MiB
2026/09/05 03:21:07.831, 1, 100 %, 8740 MiB
2026/09/05 03:21:08.832, 0, 100 %, 11732 MiB
2026/09/05 03:21:08.833, 1, 100 %, 8740 MiB
2026/09/05 03:21:09.834, 0, 100 %, 11732 MiB
2026/09/05 03:21:09.835, 1, 100 %, 8740 MiB
2026/09/05 03:21:10.836, 0, 100 %, 11732 MiB
2026/09/05 03:21:10.837, 1, 100 %, 8740 MiB
2026/09/05 03:21:11.838, 0, 100 %, 11732 MiB
2026/09/05 03:21:11.838, 1, 100 %, 8740 MiB
2026/09/05 03:21:12.839, 0, 100 %, 11732 MiB
2026/09/05 03:21:12.843, 1, 100 %, 8740 MiB
2026/09/05 03:21:13.843, 0, 100 %, 11732 MiB
2026/09/05 03:21:13.844, 1, 100 %, 8740 MiB
2026/09/05 03:21:14.845, 0, 100 %, 11732 MiB
2026/09/05 03:21:14.845, 1, 100 %, 8740 MiB
2026/09/05 03:21:15.846, 0, 100 %, 11732 MiB
2026/09/05 03:21:15.848, 1, 100 %, 8740 MiB
2026/09/05 03:21:16.849, 0, 100 %, 11732 MiB
2026/09/05 03:21:16.850, 1, 100 %, 8740 MiB
2026/09/05 03:21:17.851, 0, 100 %, 11732 MiB
2026/09/05 03:21:17.852, 1, 100 %, 8740 MiB
2026/09/05 03:21:18.853, 0, 100 %, 11732 MiB
2026/09/05 03:21:18.854, 1, 100 %, 8740 MiB
2026/09/05 03:21:21.699, 0, 100 %, 11732 MiB
2026/09/05 03:21:21.703, 1, 100 %, 8740 MiB
2026/09/05 03:21:22.704, 0, 100 %, 11732 MiB
2026/09/05 03:21:22.707, 1, 100 %, 8740 MiB
2026/09/05 03:21:23.711, 0, 100 %, 11732 MiB
2026/09/05 03:21:23.712, 1, 100 %, 8740 MiB
2026/09/05 03:21:24.713, 0, 100 %, 11732 MiB
2026/09/05 03:21:24.714, 1, 100 %, 8740 MiB
2026/09/05 03:21:25.715, 0, 100 %, 11732 MiB
