timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/05 03:20:22.811, 0, 5 %, 11466 MiB
2026/09/05 03:20:22.812, 1, 0 %, 8555 MiB
2026/09/05 03:20:23.814, 0, 1 %, 11618 MiB
2026/09/05 03:20:23.814, 1, 0 %, 8658 MiB
2026/09/05 03:20:24.815, 0, 0 %, 11618 MiB
2026/09/05 03:20:24.818, 1, 100 %, 8740 MiB
2026/09/05 03:20:25.819, 0, 100 %, 11732 MiB
2026/09/05 03:20:25.819, 1, 100 %, 8740 MiB
2026/09/05 03:20:26.820, 0, 100 %, 11732 MiB
2026/09/05 03:20:26.823, 1, 100 %, 8740 MiB
2026/09/05 03:20:27.827, 0, 100 %, 11732 MiB
2026/09/05 03:20:27.828, 1, 100 %, 8740 MiB
2026/09/05 03:20:28.829, 0, 100 %, 11732 MiB
2026/09/05 03:20:28.830, 1, 100 %, 8740 MiB
2026/09/05 03:20:29.831, 0, 100 %, 11732 MiB
2026/09/05 03:20:29.832, 1, 100 %, 8740 MiB
2026/09/05 03:20:30.833, 0, 0 %, 11664 MiB
2026/09/05 03:20:30.833, 1, 100 %, 8740 MiB
