timestamp, index, utilization.gpu [%]
2026/09/05 03:25:52.262, 0, 13 %
2026/09/05 03:25:52.264, 1, 0 %
2026/09/05 03:25:53.265, 0, 3 %
2026/09/05 03:25:53.266, 1, 1 %
2026/09/05 03:25:54.267, 0, 3 %
2026/09/05 03:25:54.268, 1, 57 %
2026/09/05 03:25:55.268, 0, 100 %
2026/09/05 03:25:55.269, 1, 100 %
2026/09/05 03:25:56.270, 0, 100 %
2026/09/05 03:25:56.271, 1, 100 %
2026/09/05 03:25:57.271, 0, 100 %
2026/09/05 03:25:57.272, 1, 100 %
2026/09/05 03:25:58.273, 0, 100 %
2026/09/05 03:25:58.273, 1, 100 %
2026/09/05 03:25:59.274, 0, 100 %
2026/09/05 03:25:59.275, 1, 100 %
2026/09/05 03:26:00.276, 0, 19 %
2026/09/05 03:26:00.277, 1, 100 %
