ts,util0
1788616190098,0
1788616190251,0
1788616190465,0
1788616190609,0
1788616190749,0
1788616190889,1
1788616191033,0
1788616191175,4
1788616191316,39
1788616191480,39
1788616191672,54
1788616191833,68
1788616191998,61
1788616192149,65
1788616192344,60
1788616192518,66
1788616192671,61
1788616192813,63
1788616193017,64
1788616193174,64
1788616193323,64
1788616193474,63
1788616193624,61
1788616193777,59
1788616193976,65
1788616194142,66
1788616194287,57
1788616194540,4
1788616194848,1
1788616195111,0
1788616195260,0
