# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100      0      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      5      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     10      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      9      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      0      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      1      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      0      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      1      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      1      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      0      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      1      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      0      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      1      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100      0      0      0      0      0 
    1      0      0      0      0      0      0 
