ts,idx,util,mem
1788664807729,0,100,11367
1788664807738,1,0,8555
1788664807885,0,100,11367
1788664807897,1,0,8555
1788664808045,0,100,11367
1788664808056,1,0,8555
1788664808203,0,100,11367
1788664808214,1,0,8555
1788664808360,0,100,11367
1788664808372,1,0,8555
1788664808522,0,100,11584
1788664808532,1,0,8555
1788664808680,0,100,11584
1788664808690,1,0,8555
1788664808838,0,100,11584
1788664808848,1,0,8555
1788664808997,0,100,11584
1788664809010,1,0,8555
1788664809157,0,100,11584
1788664809166,1,0,8555
1788664809312,0,100,11584
1788664809325,1,0,8555
1788664809475,0,100,11584
1788664809484,1,0,8555
1788664809635,0,100,11584
1788664809644,1,0,8555
1788664809789,0,100,11584
1788664809799,1,0,8555
1788664809945,0,100,11584
1788664809955,1,0,8555
1788664810097,0,100,11584
1788664810106,1,0,8555
1788664810256,0,100,11584
1788664810266,1,0,8555
1788664810419,0,100,11584
1788664810430,1,0,8555
1788664810604,0,100,11584
1788664810617,1,0,8555
1788664810768,0,100,11584
1788664810778,1,0,8555
1788664810928,0,100,11584
1788664810940,1,0,8555
1788664811088,0,100,11584
1788664811099,1,0,8555
1788664811246,0,100,11584
1788664811255,1,0,8555
1788664811404,0,100,11241
1788664811414,1,0,8555
1788664811561,0,100,11239
1788664811571,1,0,8555
1788664811719,0,100,11239
1788664811729,1,0,8555
1788664811874,0,100,11239
1788664811883,1,0,8555
1788664812032,0,100,11239
1788664812044,1,0,8555
1788664812189,0,100,11239
1788664812199,1,0,8555
1788664812348,0,90,11239
1788664812358,1,0,8555
1788664812504,0,90,11239
1788664812514,1,0,8555
1788664812665,0,100,11239
1788664812675,1,0,8555
1788664812821,0,100,11239
1788664812831,1,0,8555
1788664812980,0,100,11239
1788664812991,1,0,8555
1788664813140,0,100,11239
1788664813150,1,0,8555
1788664813295,0,100,11239
1788664813304,1,0,8555
1788664813450,0,100,11239
1788664813460,1,0,8555
1788664813606,0,100,11239
1788664813615,1,0,8555
1788664813763,0,100,11239
1788664813773,1,0,8555
1788664813920,0,100,11239
1788664813930,1,0,8555
1788664814077,0,100,11239
1788664814087,1,0,8555
1788664814232,0,100,11239
1788664814242,1,0,8555
1788664814391,0,100,11239
1788664814401,1,0,8555
1788664814549,0,100,11239
1788664814559,1,0,8555
1788664814710,0,100,11239
1788664814720,1,0,8555
1788664814867,0,100,11239
1788664814876,1,0,8555
1788664815053,0,100,11239
1788664815063,1,0,8555
1788664815209,0,100,11239
1788664815218,1,0,8555
1788664815365,0,100,11239
1788664815374,1,0,8555
1788664815520,0,100,11239
1788664815530,1,0,8555
1788664815679,0,100,11239
1788664815691,1,0,8555
1788664815840,0,100,11239
1788664815849,1,0,8555
1788664815994,0,100,11239
1788664816004,1,0,8555
1788664816151,0,100,11239
1788664816161,1,0,8555
1788664816308,0,100,11239
1788664816318,1,0,8555
1788664816465,0,100,11239
1788664816474,1,0,8555
1788664816621,0,100,11239
1788664816631,1,0,8555
1788664816778,0,90,11239
1788664816787,1,0,8555
1788664816935,0,100,11239
1788664816945,1,0,8555
1788664817094,0,100,11239
1788664817103,1,0,8555
1788664817252,0,100,11239
1788664817261,1,0,8555
1788664817420,0,100,11239
1788664817432,1,0,8555
1788664817580,0,100,11239
1788664817590,1,0,8555
1788664817738,0,100,11239
1788664817748,1,0,8555
1788664817893,0,100,11239
1788664817903,1,0,8555
1788664818051,0,100,11239
1788664818061,1,0,8555
1788664818208,0,100,11239
1788664818218,1,0,8555
1788664818363,0,100,11239
1788664818374,1,0,8555
1788664818521,0,100,11239
1788664818533,1,0,8555
1788664818681,0,100,11239
1788664818690,1,0,8555
1788664818838,0,100,11239
1788664818849,1,0,8555
1788664818997,0,100,11239
1788664819005,1,0,8555
1788664819154,0,100,11239
1788664819164,1,0,8555
1788664819314,0,100,11239
1788664819323,1,0,8555
1788664819469,0,100,11239
1788664819479,1,0,8555
1788664819626,0,100,11239
1788664819636,1,0,8555
1788664819789,0,100,11239
1788664819799,1,0,8555
1788664819946,0,100,11239
1788664819956,1,0,8555
1788664820103,0,100,11239
1788664820112,1,0,8555
1788664820261,0,100,11239
1788664820271,1,0,8555
