ts,u0,m0,u1,m1
1788665378732,8,10899,0,8555
1788665379033,5,10899,0,8555
1788665379331,2,10899,0,8555
1788665379629,15,10899,0,8555
1788665379933,12,10899,0,8555
1788665380230,13,11244,0,8555
1788665380531,100,11244,0,8555
1788665380828,100,11244,0,8555
1788665381126,100,11244,0,8555
1788665381422,100,11244,0,8555
1788665381719,100,11244,0,8555
1788665382016,100,11244,0,8555
1788665382315,100,11245,0,8555
1788665382612,100,11245,0,8555
1788665382908,100,11245,0,8555
1788665383220,85,11245,0,8555
1788665383514,100,11245,0,8555
1788665383810,100,11245,0,8555
1788665384108,100,11245,0,8555
1788665384404,100,11245,0,8555
1788665384707,88,11245,0,8555
1788665385001,100,11245,0,8555
1788665385300,100,11245,0,8555
1788665385598,100,11245,0,8555
1788665385897,100,11245,0,8555
1788665386206,88,11247,0,8555
1788665386503,100,11247,0,8555
1788665386799,100,11247,0,8555
1788665387097,100,11247,0,8555
1788665387507,100,11247,0,8555
1788665387805,100,11247,0,8555
1788665388101,100,11247,0,8555
1788665388397,100,11247,0,8555
1788665388693,100,11245,0,8555
1788665388990,100,11245,0,8555
1788665389286,100,11245,0,8555
1788665389588,100,11245,0,8555
1788665389884,100,11245,0,8555
1788665390181,100,11245,0,8555
1788665390478,89,11245,0,8555
1788665390777,100,11246,0,8555
1788665391077,100,11246,0,8555
1788665391373,100,11246,0,8555
1788665391674,100,11246,0,8555
1788665391972,89,11246,0,8555
1788665392272,100,11246,0,8555
1788665392573,100,11246,0,8555
1788665392877,100,11246,0,8555
1788665393178,100,11225,0,8555
1788665393500,87,11225,0,8555
1788665393800,100,11233,0,8555
1788665394109,100,11233,0,8555
1788665394424,100,11233,0,8555
1788665394732,100,11233,0,8555
1788665395034,88,11233,0,8555
1788665395359,100,11233,0,8555
1788665395662,100,11233,0,8555
1788665395964,100,11233,0,8555
1788665396266,100,11233,0,8555
1788665396591,91,11233,0,8555
1788665396895,98,11233,0,8555
1788665397196,100,11242,0,8555
1788665397496,100,11242,0,8555
1788665397799,100,11242,0,8555
1788665398110,100,11242,0,8555
1788665398409,86,11242,0,8555
1788665398706,100,11242,0,8555
1788665399020,100,11242,0,8555
1788665399323,100,11242,0,8555
1788665399625,100,11242,0,8555
1788665399929,89,11251,0,8555
1788665400231,100,11245,0,8555
1788665402664,100,11249,0,8555
1788665402971,100,11249,0,8555
1788665403310,100,11249,0,8555
1788665403610,88,11249,0,8555
1788665403915,100,11246,0,8555
1788665404215,100,11246,0,8555
1788665404517,100,11246,0,8555
1788665404819,100,11246,0,8555
1788665405126,89,11246,0,8555
1788665405424,100,11246,0,8555
1788665405736,100,11246,0,8555
1788665406038,100,11246,0,8555
1788665406336,100,11246,0,8555
1788665406637,100,11243,0,8555
1788665406936,100,11243,0,8555
1788665407236,100,11243,0,8555
1788665407532,100,11243,0,8555
1788665407828,100,11243,0,8555
1788665408123,100,11243,0,8555
1788665408423,89,11243,0,8555
1788665408720,100,11243,0,8555
1788665409018,100,11243,0,8555
1788665409319,100,11243,0,8555
1788665409621,100,11243,0,8555
1788665409919,89,11243,0,8555
1788665410217,100,11243,0,8555
1788665410514,100,11243,0,8555
1788665410811,100,11243,0,8555
1788665411120,100,11243,0,8555
1788665411422,89,11243,0,8555
1788665411720,100,11243,0,8555
1788665412040,100,11243,0,8555
1788665412338,100,11243,0,8555
1788665412636,100,11243,0,8555
1788665412961,89,11243,0,8555
1788665413258,100,11243,0,8555
1788665413555,100,11243,0,8555
1788665413878,100,11243,0,8555
1788665414175,100,11243,0,8555
1788665414472,100,11243,0,8555
1788665414815,100,11243,0,8555
1788665415113,100,11243,0,8555
1788665415410,100,11243,0,8555
1788665415705,100,11243,0,8555
1788665416003,100,11243,0,8555
1788665416298,100,11243,0,8555
1788665416595,100,11243,0,8555
1788665416894,100,11243,0,8555
1788665417191,100,11243,0,8555
1788665417488,100,11243,0,8555
1788665417786,100,11243,0,8555
1788665418085,100,11243,0,8555
1788665418378,100,11243,0,8555
1788665418672,100,11243,0,8555
1788665418968,100,11243,0,8555
1788665419296,100,11243,0,8555
1788665419591,100,11243,0,8555
1788665419889,100,11243,0,8555
1788665420185,86,11243,0,8555
1788665420481,100,11243,0,8555
1788665420778,100,11243,0,8555
1788665421076,100,11243,0,8555
1788665421376,100,11243,0,8555
1788665421671,89,11243,0,8555
1788665421968,100,11243,0,8555
1788665422266,100,11243,0,8555
1788665422561,100,11243,0,8555
1788665422858,100,11243,0,8555
1788665423154,89,11243,0,8555
1788665423468,100,11243,0,8555
1788665423763,100,11243,0,8555
1788665424057,100,11243,0,8555
1788665424352,100,11243,0,8555
1788665424648,100,11243,0,8555
1788665424944,100,11243,0,8555
1788665425243,100,11243,0,8555
1788665425541,100,11243,0,8555
1788665425838,100,11243,0,8555
