index	digits	product_bits	factor_width	status	seconds	terminal_output
1	260	862	431	no_terminal_within_limit	1.005650	-
2	270	895	448	no_terminal_within_limit	1.010041	-
3	270	896	448	no_terminal_within_limit	1.003513	-
4	280	928	464	no_terminal_within_limit	1.005110	-
5	290	962	481	no_terminal_within_limit	1.013975	-
6	300	995	498	no_terminal_within_limit	1.003961	-
7	309	1024	512	no_terminal_within_limit	1.003608	-
8	309	1024	512	no_terminal_within_limit	1.009455	-
9	310	1028	514	no_terminal_within_limit	1.001888	-
10	320	1061	531	no_terminal_within_limit	1.004013	-
11	330	1094	547	no_terminal_within_limit	1.008822	-
12	340	1128	564	no_terminal_within_limit	1.005793	-
13	350	1161	581	no_terminal_within_limit	1.004378	-
14	360	1194	597	no_terminal_within_limit	1.006294	-
15	370	1227	614	no_terminal_within_limit	1.012975	-
16	380	1261	631	no_terminal_within_limit	1.003023	-
17	390	1294	647	no_terminal_within_limit	1.005327	-
18	400	1327	664	no_terminal_within_limit	1.004532	-
19	410	1360	680	no_terminal_within_limit	1.004385	-
20	420	1393	697	no_terminal_within_limit	1.005118	-
21	430	1427	714	no_terminal_within_limit	1.004747	-
22	440	1460	730	no_terminal_within_limit	1.003203	-
23	450	1493	747	no_terminal_within_limit	1.007902	-
24	460	1526	763	no_terminal_within_limit	1.002962	-
25	463	1536	768	no_terminal_within_limit	1.009797	-
26	470	1559	780	no_terminal_within_limit	1.007222	-
27	480	1593	797	no_terminal_within_limit	1.004310	-
28	490	1626	813	no_terminal_within_limit	1.007054	-
29	500	1659	830	no_terminal_within_limit	1.002844	-
30	617	2048	1024	no_terminal_within_limit	1.002553	-
31	617	2048	1024	no_terminal_within_limit	1.001892	-
